Preliminary report: 20 October 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: BIS reporting banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of international positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In billions of US dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amounts outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dec.1977,Mar.1978,Jun.1978,Sep.1978,Dec.1978,Mar.1979,Jun.1979,Sep.1979,Dec.1979,Mar.1980,Jun.1980,Sep.1980,Dec.1980,Mar.1981,Jun.1981,Sep.1981,Dec.1981,Mar.1982,Jun.1982,Sep.1982,Dec.1982,Mar.1983,Jun.1983,Sep.1983,Dec.1983,Mar.1984,Jun.1984,Sep.1984,Dec.1984,Mar.1985,Jun.1985,Sep.1985,Dec.1985,Mar.1986,Jun.1986,Sep.1986,Dec.1986,Mar.1987,Jun.1987,Sep.1987,Dec.1987,Mar.1988,Jun.1988,Sep.1988,Dec.1988,Mar.1989,Jun.1989,Sep.1989,Dec.1989,Mar.1990,Jun.1990,Sep.1990,Dec.1990,Mar.1991,Jun.1991,Sep.1991,Dec.1991,Mar.1992,Jun.1992,Sep.1992,Dec.1992,Mar.1993,Jun.1993,Sep.1993,Dec.1993,Mar.1994,Jun.1994,Sep.1994,Dec.1994,Mar.1995,Jun.1995,Sep.1995,Dec.1995,Mar.1996,Jun.1996,Sep.1996,Dec.1996,Mar.1997,Jun.1997,Sep.1997,Dec.1997,Mar.1998,Jun.1998,Sep.1998,Dec.1998,Mar.1999,Jun.1999,Sep.1999,Dec.1999,Mar.2000,Jun.2000,Sep.2000,Dec.2000,Mar.2001,Jun.2001,Sep.2001,Dec.2001,Mar.2002,Jun.2002,Sep.2002,Dec.2002,Mar.2003,Jun.2003,Sep.2003,Dec.2003,Mar.2004,Jun.2004,Sep.2004,Dec.2004,Mar.2005,Jun.2005,Sep.2005,Dec.2005,Mar.2006,Jun.2006,Sep.2006,Dec.2006,Mar.2007,Jun.2007,Sep.2007,Dec.2007,Mar.2008,Jun.2008,Sep.2008,Dec.2008,Mar.2009,Jun.2009,Sep.2009,Dec.2009,Mar.2010,Jun.2010,Sep.2010,Dec.2010,Mar.2011,Jun.2011
liabilities to non-banks,Q:M:A:A:B:5A:1E,31.554,33.439,36.553,40.694,42.018,40.938,45.853,47.209,45.048,47.088,50.694,49.92,51.784,42.124,43.323,46.231,49.369,49.947,51.527,54.031,58.551,57.674,59.193,61.168,79.81,84.339,82.764,82.757,94.69,95.618,99.866,108.415,115.885,125.111,130.798,149.23,147.677,165.222,165.472,178.526,189.546,191.339,186.074,195.64,204.571,219.153,219.63,227.424,290.149,321.675,322.767,372.942,370.104,372.667,363.112,388.884,370.923,367.133,376.578,418.443,382.16,413.621,395.567,429.638,398.997,449.664,450.937,472.717,445.342,510.932,490.1,493.993,509.944,558.742,537.027,555.974,557.319,602.322,587.797,508.936,520.224,528.205,535.892,575.176,556.287,489.524,473.287,524.576,525.831,557.857,595.412,571.451,608.364,642.6,637.823,658.233,702.05,702.679,723.757,776.657,766.581,799.621,856.368,900.258,996.112,1052.118,1046.587,1032.019,1126.221,1240.388,1258.605,1299.271,1303.502,1397.605,1451.768,1500.682,1625.023,1688.62,1851.188,1959.602,2033.258,2237.373,2188.398,1999.714,1936.982,1810.481,1877.341,1904.885,1880.65,1862.39,1810.507,1956.132,1977.992,2087.923,2112.145
Estimated exchange rate adjusted changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dec.1977,Mar.1978,Jun.1978,Sep.1978,Dec.1978,Mar.1979,Jun.1979,Sep.1979,Dec.1979,Mar.1980,Jun.1980,Sep.1980,Dec.1980,Mar.1981,Jun.1981,Sep.1981,Dec.1981,Mar.1982,Jun.1982,Sep.1982,Dec.1982,Mar.1983,Jun.1983,Sep.1983,Dec.1983,Mar.1984,Jun.1984,Sep.1984,Dec.1984,Mar.1985,Jun.1985,Sep.1985,Dec.1985,Mar.1986,Jun.1986,Sep.1986,Dec.1986,Mar.1987,Jun.1987,Sep.1987,Dec.1987,Mar.1988,Jun.1988,Sep.1988,Dec.1988,Mar.1989,Jun.1989,Sep.1989,Dec.1989,Mar.1990,Jun.1990,Sep.1990,Dec.1990,Mar.1991,Jun.1991,Sep.1991,Dec.1991,Mar.1992,Jun.1992,Sep.1992,Dec.1992,Mar.1993,Jun.1993,Sep.1993,Dec.1993,Mar.1994,Jun.1994,Sep.1994,Dec.1994,Mar.1995,Jun.1995,Sep.1995,Dec.1995,Mar.1996,Jun.1996,Sep.1996,Dec.1996,Mar.1997,Jun.1997,Sep.1997,Dec.1997,Mar.1998,Jun.1998,Sep.1998,Dec.1998,Mar.1999,Jun.1999,Sep.1999,Dec.1999,Mar.2000,Jun.2000,Sep.2000,Dec.2000,Mar.2001,Jun.2001,Sep.2001,Dec.2001,Mar.2002,Jun.2002,Sep.2002,Dec.2002,Mar.2003,Jun.2003,Sep.2003,Dec.2003,Mar.2004,Jun.2004,Sep.2004,Dec.2004,Mar.2005,Jun.2005,Sep.2005,Dec.2005,Mar.2006,Jun.2006,Sep.2006,Dec.2006,Mar.2007,Jun.2007,Sep.2007,Dec.2007,Mar.2008,Jun.2008,Sep.2008,Dec.2008,Mar.2009,Jun.2009,Sep.2009,Dec.2009,Mar.2010,Jun.2010,Sep.2010,Dec.2010,Mar.2011,Jun.2011
A. Total assets,Q:M:B:A:C:5A:5J,-,10.732,32.821,53.471,98.448,3.794,71.884,90.325,84.534,81.738,55.654,66.459,127.903,82.593,57.324,101.988,107.736,85.649,12.56,111.187,29.942,49.469,-28.267,66.82,48.805,62.52,31.995,11.306,63.992,89.919,-15.655,87.785,129.672,86.265,74.681,269.629,224.415,142.13,192.491,246.431,176.136,119.174,60.738,294.961,47.874,326.217,-18.855,300.646,206.1,174.125,15.159,326.347,220.013,-42.919,-172.693,4.071,105.691,-61.751,-89.73,295.718,-0.041,-5.689,-102.27,190.501,207.893,3.806,-86.943,156.668,206.634,298.525,138.52,155.007,68.77,124.384,63.933,207.449,240.558,438.764,261.396,174.29,520.419,-0.818,290.351,54.292,-119.576,146.574,-18.81,154.45,79.161,608.126,153.386,276.702,409.444,859.789,-136.2,-8.327,211.744,135.632,196.648,49.595,360.213,554.857,625.714,-83.926,437.473,1385.309,307.009,204.243,576.3,1316.564,1003.679,578.513,463.301,1675.643,650.247,763.3,1038.406,2684.799,1309.403,1081.749,1092.719,1505.894,-982.151,121.141,-2029.949,-1064.096,-497.511,-301.112,-464.215,698.269,-3.734,750.616,-533.62,634.261,-117.08
claims on banks,Q:M:B:A:C:5A:5J - Q:M:B:A:D:5A:5J,-,1.423,20.124,45.187,81.728,-9.923,55.591,76.092,61.566,56.568,28.099,43.526,101.624,61.518,28.551,71.623,72.968,68.509,-9.923,89.654,16.537,37.037,-35.798,51.954,32.646,45.703,28.199,-4.234,47.601,78.579,-25.783,78.953,112.222,61.441,52.963,238,196.63,83.592,137.996,212.97,131.202,76.959,37.423,257.863,-3.492,253.208,-49.308,237.911,146.876,92.465,-53.507,240.518,177.467,-87.88,-208.522,1.273,77.089,-70.398,-106.497,222.999,-13.214,-28.916,-123.96,169.66,161.851,2.892,-45.186,153.374,192.107,210.689,40.486,144.043,38.577,61.509,-21.964,141.705,101,322.797,159.811,85.638,466.893,-41.77,164.026,80.964,-98.152,15.927,-138.203,111.27,29.471,433.447,70.777,177.88,326.592,555.848,-189.064,-21.118,78.352,70.659,107.147,-84.656,322.17,336.744,431.954,-225.163,343.272,902.517,246.919,-15.433,343.905,786.219,716.29,300.378,219.921,1122.34,410.138,417.182,458.663,1945.767,661.071,656.397,714.855,1048.554,-723.994,44.867,-938.049,-826.628,-470.764,-263.475,-162.556,394.889,150.708,308.085,-435.744,343.165,-232.582
claims on non-banks,Q:M:B:A:D:5A:5J,-,9.309,12.697,8.284,16.72,13.717,16.293,14.233,22.968,25.17,27.555,22.933,26.279,21.075,28.773,30.365,34.768,17.14,22.483,21.533,13.405,12.432,7.531,14.866,16.159,16.817,3.796,15.54,16.391,11.34,10.128,8.832,17.45,24.824,21.718,31.629,27.785,58.538,54.495,33.461,44.934,42.215,23.315,37.098,51.366,73.009,30.453,62.735,59.224,81.66,68.666,85.829,42.546,44.961,35.829,2.798,28.602,8.647,16.767,72.719,13.173,23.227,21.69,20.841,46.042,0.914,-41.757,3.294,14.527,87.836,98.034,10.964,30.193,62.875,85.897,65.744,139.558,115.967,101.585,88.652,53.526,40.952,126.325,-26.672,-21.424,130.647,119.393,43.18,49.69,174.679,82.609,98.822,82.852,303.941,52.864,12.791,133.392,64.973,89.501,134.251,38.043,218.113,193.76,141.237,94.201,482.792,60.09,219.676,232.395,530.345,287.389,278.135,243.38,553.303,240.109,346.118,579.743,739.032,648.332,425.352,377.864,457.34,-258.157,76.274,-1091.9,-237.468,-26.747,-37.637,-301.659,303.38,-154.442,442.531,-97.876,291.096,115.502
B. External assets,Q:M:B:A:C:5A:3P,-,7.42,27.992,43.493,86.041,-1.409,59.876,75.587,68.083,54.14,40.85,52.463,100.599,61.43,48.818,76.54,91.963,51.71,34.596,70.596,33.662,25.877,6.696,30.881,51.918,28.667,47.236,-7.156,59.095,59.839,13.835,37.078,120.629,34.997,79.597,176.089,216.495,78.914,188.349,195.041,133.64,78.047,106.592,216.445,45.812,233.184,23.926,212.244,213.393,88.997,67.571,251.002,201.243,-42.885,-108.648,-1.953,106.394,-37.067,-43.186,235.044,27.087,1.417,-67.515,163.789,190.428,-12.987,-42.973,128.117,193.888,240.022,167.755,165.712,112.312,81.152,68.199,169.049,234.11,362.367,268.775,183.746,500.72,-56.608,272.492,81.159,-36.419,99.124,-18.44,132.491,113.24,474.316,127.136,244.683,393.767,735.279,-104.09,-6.488,227.494,65.438,229.934,77.973,323.583,376.106,535.441,-132.165,338.381,1201.515,265.483,205.582,581.216,1079.3,1032.726,542.09,535.931,1407.411,607.831,799.279,965.307,2311.72,1258.844,1008.617,1111.817,1136.967,-778.578,58.899,-1920.677,-783.011,-430.968,-221.213,-511.958,642.884,31.796,623.521,-471.594,574.314,-184.747
claims on banks,Q:M:B:A:C:5A:3P - Q:M:B:A:D:5A:3P,-,-1.304,18.658,35.417,74.333,-11.786,47.858,62.44,47.996,37.568,22.37,32.866,81.649,43.248,27.81,51.404,69.126,37.904,15.431,53.013,24.094,16.69,1.913,20.895,42.198,22.902,43.386,-15.689,47.681,56.883,1.755,33.988,105.315,28.176,70.263,167.911,202.298,52.089,167.208,174.478,111.696,57.318,82.385,200.586,20.569,198.637,5.356,164.782,174.896,46.284,14.326,173.704,159.023,-76.951,-133.12,-19.244,82.331,-70.624,-74.48,175.529,-5.835,-28.976,-102.826,138.849,130.993,-16.87,-19.574,122.044,178.682,166.738,66.999,133.445,69.456,33.989,-6.357,100.575,126.114,271.119,148.34,85.974,445.843,-99.673,157.578,107.687,-34.026,-25.196,-118.221,91.698,53.013,380.15,70.226,144.544,350.505,459.79,-161.622,-21.955,135.451,-1.399,148.435,-65.262,297.683,179.283,349.542,-246.593,294.262,801.303,209.141,-23.909,363.89,627.028,729.212,285.576,321.59,981.373,400.532,446.433,476.484,1702.703,692.531,654.193,840.09,866.278,-602.661,20.785,-945.59,-640.848,-442.865,-251.773,-189.927,394.759,161.517,245.1,-411.425,299.778,-287.877
claims on non-banks,Q:M:B:A:D:5A:3P,-,8.724,9.334,8.076,11.708,10.377,12.018,13.147,20.087,16.572,18.48,19.597,18.95,18.182,21.008,25.136,22.837,13.806,19.165,17.583,9.568,9.187,4.783,9.986,9.72,5.765,3.85,8.533,11.414,2.956,12.08,3.09,15.314,6.821,9.334,8.178,14.197,26.825,21.141,20.563,21.944,20.729,24.207,15.859,25.243,34.547,18.57,47.462,38.497,42.713,53.245,77.298,42.22,34.066,24.472,17.291,24.063,33.557,31.294,59.515,32.922,30.393,35.311,24.94,59.435,3.883,-23.399,6.073,15.206,73.284,100.756,32.267,42.856,47.163,74.556,68.474,107.996,91.248,120.435,97.772,54.877,43.065,114.914,-26.528,-2.393,124.32,99.781,40.793,60.227,94.166,56.91,100.139,43.262,275.489,57.532,15.467,92.043,66.837,81.499,143.235,25.9,196.823,185.899,114.428,44.119,400.212,56.342,229.491,217.326,452.272,303.514,256.514,214.341,426.038,207.299,352.846,488.823,609.017,566.313,354.424,271.727,270.689,-175.917,38.114,-975.087,-142.163,11.897,30.56,-322.031,248.125,-129.721,378.421,-60.169,274.536,103.13
1. Loans and deposits,Q:M:H:A:C:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-12.966,28.679,125.525,189.175,309.348,237.339,99.167,453.051,-118.033,149.578,61.914,-82.966,-106.318,-120.242,50.38,13.636,329.279,-14.653,133.041,305.701,606.979,-111.016,-48.207,157.76,5.571,86.723,-10.021,370.484,288.531,388.862,-185.743,282.807,903.134,118.045,19.541,417.843,813.536,778.064,360.055,210.897,1121.446,416.32,573.407,632.048,1926.519,898.185,792.971,879.63,1213.064,-771.903,43.964,-1644.65,-655.393,-438.385,-313.444,-301.864,459.088,200.579,359.591,-100.595,478.767,-165.868
claims on banks,Q:M:H:A:C:5A:3P - Q:M:H:A:D:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-23.048,-13.116,81.897,128.373,269.673,123.492,34.242,461.333,-131.263,108.199,91.661,-47.991,-114.944,-178.431,39.74,-8.423,299.726,-12.579,106.439,297.792,400.285,-153.487,-20.737,131.56,-28.49,76.563,-74.352,374.309,147.923,365.392,-276.841,263.682,707.368,143.238,-27.555,300.071,510.6,681.19,220.499,213.079,827.31,287.666,349.943,381.51,1482.648,522.747,594.1,782.499,687.237,-607.604,-94.136,-953.3,-521.036,-323.932,-338.488,-65.276,336.663,176.174,147.595,-133.601,259.553,-296.4
claims on non-banks,Q:M:H:A:D:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,10.082,41.795,43.628,60.802,39.675,113.847,64.925,-8.282,13.23,41.379,-29.747,-34.975,8.626,58.189,10.64,22.059,29.553,-2.074,26.602,7.909,206.694,42.471,-27.47,26.2,34.061,10.16,64.331,-3.825,140.608,23.47,91.098,19.125,195.766,-25.193,47.096,117.772,302.936,96.874,139.556,-2.182,294.136,128.654,223.464,250.538,443.871,375.438,198.871,97.131,525.827,-164.299,138.1,-691.35,-134.357,-114.453,25.044,-236.588,122.425,24.405,211.996,33.006,219.214,130.532
2. Holdings of securities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and other assets,Q:M:E:A:C:5A:3P + Q:M:J:A:C:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,93.913,39.732,43.522,44.938,52.994,31.356,84.63,49.142,64.542,122.965,19.252,79.686,205.481,101.844,82.129,99.583,145.118,141.789,111.683,88.018,128.321,6.901,41.748,69.665,59.623,143.498,87.954,-46.861,87.581,146.604,53.581,55.548,298.414,147.431,186.063,163.407,265.733,254.624,182.092,324.991,285.996,191.501,225.91,333.237,385.206,360.67,215.571,232.244,-76.132,-6.681,14.957,-276.003,-127.65,7.419,92.25,-210.129,183.81,-168.78,263.931,-370.957,95.655,-18.904
claims on banks,Q:M:E:A:C:5A:3P + Q:M:J:A:C:5A:3P - Q:M:E:A:D:5A:3P - Q:M:J:A:D:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,56.873,6.926,18.679,-2.26,1.42,24.807,51.747,-14.016,32.462,49.623,15.836,11.504,89.752,60.24,51.987,61.432,80.424,82.804,38.146,52.667,59.501,-8.144,-1.209,3.84,26.814,72.194,9.058,-75.307,30.057,-15.84,30.232,30.573,94.011,65.881,3.527,63.151,116.447,47.966,65.067,108.519,154.076,112.877,96.527,94.941,220.058,169.799,60.074,57.634,178.973,4.943,114.951,7.712,-119.833,-118.906,86.742,-124.69,58.1,-14.653,97.514,-277.818,40.483,8.504
claims on non-banks,Q:M:E:A:D:5A:3P + Q:M:J:A:D:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,37.04,32.806,24.843,47.198,51.574,6.549,32.883,63.158,32.08,73.342,3.416,68.182,115.729,41.604,30.142,38.151,64.694,58.985,73.537,35.351,68.82,15.045,42.957,65.825,32.809,71.304,78.896,28.446,57.524,162.444,23.349,24.975,204.403,81.55,182.536,100.256,149.286,206.658,117.025,216.472,131.92,78.624,129.383,238.296,165.148,190.871,155.497,174.61,-255.105,-11.624,-99.994,-283.715,-7.817,126.325,5.508,-85.439,125.71,-154.127,166.417,-93.139,55.172,-27.408
C. Local assets in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign currency,Q:M:B:A:C:5A:1E,-,3.311,4.829,9.978,12.407,5.204,12.008,14.737,16.45,27.599,14.804,13.996,27.305,21.163,8.506,25.448,15.773,33.939,-22.036,40.591,-3.72,23.592,-34.964,35.939,-3.114,33.854,-15.241,18.462,4.897,30.08,-29.491,50.707,9.042,51.268,-4.916,93.54,7.919,63.216,4.141,51.39,42.496,41.127,-45.854,78.516,2.062,93.033,-42.781,88.402,-7.293,85.127,-52.412,75.344,18.771,-0.034,-64.045,6.024,-0.702,-24.684,-46.544,60.675,-27.127,-7.106,-34.755,26.712,17.464,16.793,-43.971,28.55,12.746,58.503,-29.235,-10.705,-43.542,43.232,-4.266,38.4,6.448,76.397,-7.379,-9.456,19.699,55.79,17.859,-26.867,-83.157,47.45,-0.37,21.96,-34.078,133.809,26.25,32.019,15.677,124.51,-32.11,-1.839,-15.75,70.193,-33.287,-28.379,36.63,178.751,90.272,48.239,99.092,183.794,41.526,-1.339,-4.916,237.264,-29.047,36.423,-72.63,268.232,42.416,-35.979,73.099,373.079,50.56,73.131,-19.098,368.927,-203.573,62.242,-109.272,-281.086,-66.543,-79.9,47.743,55.386,-35.53,127.096,-62.027,59.947,67.667
claims on banks,Q:M:B:A:C:5A:1E - Q:M:B:A:D:5A:1E,-,2.726,1.466,9.77,7.395,1.865,7.734,13.651,13.569,19.001,5.728,10.659,19.976,18.27,0.741,20.218,3.842,30.605,-25.354,36.641,-7.557,20.346,-37.712,31.059,-9.553,22.802,-15.187,11.455,-0.079,21.696,-27.539,44.965,6.906,33.265,-17.3,70.089,-5.669,31.503,-29.212,38.492,19.507,19.641,-44.963,57.276,-24.061,54.571,-54.663,73.129,-28.02,46.181,-67.833,66.813,18.445,-10.928,-75.402,20.517,-5.241,0.226,-32.017,47.471,-7.379,0.06,-21.133,30.812,30.857,19.761,-25.613,31.328,13.425,43.951,-26.514,10.598,-30.879,27.52,-15.607,41.13,-25.114,51.678,11.471,-0.336,21.049,57.903,6.448,-26.723,-64.126,41.123,-19.982,19.573,-23.541,53.296,0.552,33.336,-23.913,96.058,-27.442,0.837,-57.099,72.058,-41.289,-19.394,24.487,157.462,82.411,21.43,49.01,101.214,37.778,8.476,-19.985,159.191,-12.923,14.801,-101.669,140.967,9.606,-29.252,-17.821,243.064,-31.458,2.203,-125.236,182.276,-121.332,24.082,7.541,-185.781,-27.899,-11.703,27.371,0.132,-10.81,62.987,-24.32,43.387,55.295
claims on non-banks,Q:M:B:A:D:5A:1E,-,0.585,3.363,0.208,5.012,3.339,4.274,1.086,2.881,8.598,9.076,3.337,7.329,2.893,7.765,5.23,11.931,3.334,3.318,3.95,3.837,3.246,2.748,4.88,6.439,11.052,-0.054,7.007,4.976,8.384,-1.952,5.742,2.136,18.003,12.384,23.451,13.588,31.713,33.353,12.898,22.989,21.486,-0.891,21.24,26.123,38.462,11.882,15.273,20.727,38.946,15.421,8.531,0.326,10.894,11.357,-14.493,4.539,-24.91,-14.527,13.204,-19.748,-7.166,-13.622,-4.1,-13.393,-2.968,-18.358,-2.778,-0.679,14.552,-2.721,-21.303,-12.663,15.712,11.341,-2.73,31.562,24.719,-18.85,-9.12,-1.35,-2.113,11.411,-0.144,-19.031,6.327,19.612,2.387,-10.537,80.513,25.698,-1.317,39.59,28.452,-4.668,-2.676,41.349,-1.865,8.002,-8.985,12.143,21.289,7.861,26.809,50.082,82.58,3.748,-9.815,15.069,78.073,-16.124,21.622,29.039,127.265,32.81,-6.727,90.92,130.015,82.018,70.928,106.138,186.651,-82.241,38.16,-116.813,-95.305,-38.644,-68.197,20.372,55.254,-24.72,64.109,-37.707,16.56,12.372
D. Total liabilities,Q:M:B:A:A:5A:5J,-,7.63,24.983,54.811,95.656,12.999,78.236,98.268,100.847,77.998,46.055,59.488,124.123,67.483,49.427,97.003,91.75,84.286,-2.487,92.152,13.045,33.702,-23.433,67.192,59.578,64.896,42.273,15.564,57.494,83.37,-14.522,105,142.843,79.387,62.294,288.744,215.457,157.931,182.234,266.626,196.758,112.268,86.744,304.283,50.579,320.542,9.791,288.209,213.989,200.826,3.874,373.034,202.127,5.503,-213.019,2.089,51.747,-28.866,-100.003,263.876,-11.016,-11.059,-116.492,145.819,121.58,157.19,24.924,270.132,235.409,319.597,33.127,140.234,39.944,199.081,-3.658,169.708,174.142,564.411,199.344,87.564,530.959,94.174,218.684,160.198,-154.765,7.351,-24.576,169.017,112.923,544.482,142.481,214.849,338.117,821.85,-134.784,-48.766,244.144,179.638,84.049,111,376.62,507.027,524.953,39.813,511.654,1233.508,208.97,298.183,513.747,1308.018,870.071,753.34,300.125,1702.098,598.837,765.763,804.908,2465.04,1269.857,1140.919,1088.021,1771.98,-1162.965,57.6,-1702.578,-1132.409,-610.957,-250.766,-499.811,502.182,45.059,839.131,-355.994,821.848,-143.443
liabilities to banks,Q:M:B:A:A:5A:5J - Q:M:B:A:B:5A:5J,-,-0.643,17.715,46.789,80.759,-0.627,62.159,83.624,91.657,60.208,37.63,55.194,100.065,61.576,27.081,71.51,71.534,65.841,-23.37,84.949,5.251,25.841,-38.935,58.91,38.221,44.575,36.087,21.333,43.541,74.395,-18.875,89.447,111.219,57.687,38.902,249.532,194.578,126.246,163.958,227.617,191.593,98.694,62.598,272.319,26.634,249.737,-26.516,257.229,147.765,115.948,-20.675,270.579,183.673,-38.896,-203.277,-6.411,66.006,-45.997,-109.813,204.09,-6.12,-67.044,-108.529,115.898,130.801,87.015,13.018,205.032,237.856,248.296,26.431,102.353,18.49,60.439,-24.131,113.348,148.938,374.387,158.193,123.881,462.233,11.347,158.573,95.003,-58.927,-139.558,-48.558,134.121,75.348,379.059,82.04,135.161,368.644,589.951,-96.281,-144.866,209.49,85.501,65.81,15.646,334.293,211.456,456.105,-84.244,373.338,946.574,238.898,121.826,269.464,864.221,816.235,523.463,346.659,1247.894,286.314,604.829,575.475,1856.171,715.769,776.402,892.205,1163.528,-1139.712,470.622,-1024.091,-733.107,-565.286,-311.917,-326.332,335.049,15.255,518.759,-412.13,486.876,-215.526
liabilities to non-banks,Q:M:B:A:B:5A:5J,-,8.273,7.268,8.022,14.897,13.626,16.077,14.644,9.19,17.79,8.425,4.294,24.058,5.907,22.346,25.493,20.216,18.445,20.883,7.203,7.794,7.861,15.502,8.282,21.357,20.321,6.186,-5.769,13.953,8.975,4.353,15.553,31.624,21.7,23.392,39.212,20.879,31.685,18.276,39.009,5.165,13.574,24.146,31.964,23.945,70.805,36.307,30.98,66.224,84.878,24.549,102.455,18.454,44.399,-9.742,8.5,-14.259,17.131,9.81,59.786,-4.896,55.985,-7.963,29.921,-9.221,70.175,11.906,65.1,-2.447,71.301,6.696,37.881,21.454,138.642,20.473,56.36,25.204,190.024,41.151,-36.317,68.726,82.827,60.111,65.195,-95.838,146.909,23.982,34.896,37.575,165.423,60.441,79.688,-30.527,231.899,-38.503,96.1,34.654,94.137,18.239,95.354,42.327,295.571,68.848,124.057,138.316,286.934,-29.928,176.357,244.283,443.797,53.836,229.877,-46.534,454.204,312.523,160.934,229.433,608.869,554.088,364.517,195.816,608.452,-23.253,-413.022,-678.487,-399.302,-45.671,61.151,-173.479,167.133,29.804,320.372,56.136,334.972,72.083
